configuration,features,accuracy,balanced_accuracy,macro_precision,macro_recall,macro_f1,fpr
Full model,152,0.9516666666666667,0.9023148148148148,0.9408877249529949,0.9023148148148148,0.9061844479533788,0.002777777777777778
No identity/context,120,0.7883333333333333,0.607175925925926,0.8044877872590184,0.607175925925926,0.6078004637861457,0.044444444444444446
No process context,120,0.8266666666666667,0.6900462962962962,0.73993032046942,0.6900462962962962,0.6989993512565885,0.04722222222222222
Mean only,19,0.9133333333333333,0.8585648148148147,0.8857694339841614,0.8585648148148147,0.8639793870278066,0.03611111111111111
Static extrema only,38,0.78,0.6590277777777779,0.7446289821289821,0.6590277777777779,0.6704632648339476,0.10833333333333334
